(carboplatin)||carboplatin
ondansetron hydrochloride dihydrate||ondansetron
thyroid medicine||levothyroxine
ativan (lorazepam)||lorazepam
thyroid pill||levothyroxine
iron fumarate||iron
ondansetron kabi||ondansetron
thyroid preparations||levothyroxine
dipotassium clorazepate||clorazepic acid
ondansetron odt drla||ondansetron
thyroid therapy||levothyroxine
iron infusion||iron
atopica (animal health)||cetylpyridinium
ondansetron orally disintegrating tablets||ondansetron
iron pill||iron
ondansetron teva||ondansetron
ondansetrone dr. reddy's||ondansetron
thyroxine (levothyroxine sodium)||levothyroxine
iron pills||iron
ondansetrone hikma||ondansetron
iron sulfate||iron
thyroxine sodium||levothyroxine
ondasetron [ondansetron]||ondansetron
iron sulphate||iron
atorvastatin (atorvastatin)||atorvastatin
iron supplement||iron
atorvastatin (atorvastatin) (atorvastatin)||atorvastatin
one a day multivitamin||cholecalciferol
tianeptine sodium||tianeptine
atorvastatin (unknown)||atorvastatin
iron supplements||iron
atorvastatin 10 mg||atorvastatin
tiapridal||tiapride
tiapride hydrochloride||tiapride
atorvastatin 10mg||atorvastatin
atorvastatin 20 mg||atorvastatin
atorvastatin 20mg||atorvastatin
atorvastatin 40 mg||atorvastatin
distigmine bromide||distigmine
atorvastatin 40mg||atorvastatin
distilled water||water
irsogladine maleate||irsogladine
isavuconazonium sulfate||isavuconazonium
atorvastatin mylan||atorvastatin
atorvastatin pfizer||atorvastatin
atorvastatin tablets||atorvastatin
onglyza tabs||saxagliptin
atorvastatin teva||atorvastatin
onglyza tabs 5 mg||saxagliptin
divalproex er||valproic acid
atorvastatina (7400a)||atorvastatin
atorvastatina [atorvastatin]||atorvastatin
atorvastatine [atorvastatin]||atorvastatin
atorvastatine arrow||atorvastatin
atorvastatine pfizer||atorvastatin
tilidine hydrochloride||tilidine
dobutamine hcl||dobutamine
docetaxel (docetaxel)||docetaxel
docetaxel (manufacturer unknown)||docetaxel
docetaxel (taxotere)||docetaxel
atracurium (unknown)||atracurium
opana er 20mg||oxymorphone
timolol unk||timolol
docetaxel (unknown)||docetaxel
atracurium hospira||atracurium
atropine sulphate||atropine
opana er 30mg||oxymorphone
docetaxel actavis||docetaxel
opana er 40mg||oxymorphone
docetaxel hospira||docetaxel
atrovent (ipratropium bromide)||ipratropium
docetaxel hydrate||docetaxel
isoniazid (isoniazid)||isoniazid
docetaxel pfizer||docetaxel
docetaxel sagent||docetaxel
tinactin spray powder||tolnaftate
atrovent inhaler||ipratropium
isoniazide||isoniazid
docetaxel sanofi-aventis||docetaxel
docetaxel sun||docetaxel
augmentin bd||clavulanic acid
tinzaparine sodique||tinzaparin
augmentin duo||clavulanic acid
tioconazole 6.5% 426||tioconazole
augmentin duo forte||clavulanic acid
augmentine||clavulanic acid
augmentine [amoxicillin;clavulanic acid]||clavulanic acid
opsumit (macitentan)||macitentan
docusate (docusate)||docusate
isosorbide mn||isosorbide dinitrate
docusate sod||docusate
isosorbide mono||isosorbide dinitrate
tiotropium (tiotropium)||tiotropium
docusate sodium (docusate sodium)||docusate
isosorbide mononite||isosorbide dinitrate
avapro (irbesartan)||irbesartan
tiotropium bromide||tiotropium
avapro hct||irbesartan
isosorbidemononitraat||isosorbide dinitrate
tiotropium bromide monohydrate||tiotropium
tirosint-sol||levothyroxine
oracilline||phenoxymethylpenicillin
isotonic sodium chloride||sodium chloride
tisseel vh||calcium chloride
isotretinoin not otherwise specified||isotretinoin
oral baclofen||baclofen
titanoreine||titanium
avodart (dutasteride)||dutasteride
oral treprostinil||treprostinil
avonex (interferon beta-1a)||isopropyl alcohol
avonex pen||isopropyl alcohol
tizanidine (tizanidine)||tizanidine
itopride hydrochloride||itopride
tmp-smx||tmp
ivabradine hydrochloride||ivabradine
ayr saline||sodium chloride
azacitidine injectable||azacitidine
dolutegravir sodium||dolutegravir
azathioprine (azathioprine)||azathioprine
ornithine aspartate||ornithine
azathioprine (unknown)||azathioprine
dominal (prothipendyl hydrochloride)||prothipendyl
jakavi tablets||ruxolitinib
jamp calcium||calcium
tofacitinib citrate||tofacitinib
jamp vitamin d||cholecalciferol
domperidone (domperidone)||domperidone
azelastine hcl||azelastine
domperidone maleate||domperidone
januvia tablets 50mg||sitagliptin
jardiance duo||empagliflozin
donepezil (donepezil)||donepezil
donepezil (unknown)||donepezil
azithromycin (azithromycin)||azithromycin
donepezil hcl||donepezil
azithromycin 250 mg||azithromycin
tolterodine l-tartrate||tolterodine
osimertinib mesilate||osimertinib
azithromycin anhydrous||azithromycin
donormyl (doxylamine succinate)||doxylamine
topalgic (tramadol hydrochloride)||tramadol
azithromycin usp||azithromycin
topalgic [tramadol hydrochloride]||tramadol
azithromycine anhydre||azithromycin
ostelin vitamin d||cholecalciferol
azitromicina (7019a)||azithromycin
topamax (topiramate)||topiramate
johnsons baby powder (talc)||talc
topicorte||desoximetasone
topiramate (topiramate)||topiramate
topiramate (unknown)||topiramate
topiramate tablets||topiramate
juvederm ultra||chloroxylenol
toprol (metoprolol succinate)||metoprolol
juvederm ultra plus||chloroxylenol
toprol xl (metoprolol succinate)||metoprolol
juvederm ultra xc||chloroxylenol
other therapeutic products||coal tar
toprol xl tablets||metoprolol
azulfidine en||sulfasalazine
azulfidine en?tabs||sulfasalazine
azulfidine-en||sulfasalazine
oxacillin sodium||oxacillin
oxaliplatin (eloxatin)||oxaliplatin
torem [torasemide]||torasemide
oxaliplatin (manufacturer unknown)||oxaliplatin
oxaliplatin (manufacturer unknown) (oxaliplatin) (oxaliplatin)||oxaliplatin
oxaliplatin (oxaliplatin)||oxaliplatin
dosulepin hydrochloride||dosulepin
oxaliplatin (oxaliplatin) (oxaliplatin)||oxaliplatin
oxaliplatin (unknown)||oxaliplatin
b complete||chlorpheniramine
oxaliplatin accord||oxaliplatin
oxaliplatin hospira||oxaliplatin
oxaliplatin teva||oxaliplatin
oxaliplatine accord||oxaliplatin
doxazosin (doxazosin)||doxazosin
oxaliplatine hospira||oxaliplatin
b complex [vitamin b complex]||flavin mononucleotide
doxazosin mesilate||doxazosin
oxaliplatine teva||oxaliplatin
oxaliplatino sun||oxaliplatin
doxepin (doxepin) (doxepin)||doxepin
oxaliplatino teva||oxaliplatin
tpn [amino acids nos;carbohydrates nos;minerals nos;vitamins nos]||amino acids
doxepine||doxepin
tracleer (bosentan)||bosentan
tracleer (bosentan) (unknown)||bosentan
kaletra tablets||ritonavir
tracleer (bosentan) tablet||bosentan
doxil [pegylated liposomal doxorubicin hydrochloride]||doxorubicin
b-complex [vitamin b nos]||pantothenic acid
doxorubicin (doxorubicin)||doxorubicin
trajenta duo||linagliptin
oxinorm (oxycodone hydrochloride)||oxycodone
doxorubicin (doxorubicin) (doxorubicin)||doxorubicin
oxinorm [oxycodone hydrochloride]||oxycodone
tramadol (similar to nda 21-745)||tramadol
doxorubicin (doxorubicin) injection||doxorubicin
tramadol (tramadol hydrochloride)||tramadol
doxorubicin (manufacturer unknown)||doxorubicin
tramadol (tramadol)||tramadol
b12 active||triclosan
tramadol (tramadol) (tramadol)||tramadol
doxorubicin (unknown)||doxorubicin
kalium verla||potassium
tramadol (unknown)||tramadol
tramadol 50 mg||tramadol
doxorubicin hcl||doxorubicin
doxorubicin hydrochloride (caelyx)||doxorubicin
kaliumcitrat||potassium
tramadol 50mg||tramadol
tramadol [tramadol hydrochloride]||tramadol
kaliumklorid||potassium
tramadol actavis||tramadol
doxorubicin hydrochloride (doxil)||doxorubicin
oxybutynin (oxybutynin)||oxybutynin
b12-active||triclosan
tramadol base||tramadol
tramadol hcl cf||tramadol
doxorubicin liposomal||doxorubicin
tramadol hydrochloride (aellc)||tramadol
doxorubicin nos||doxorubicin
tramadol hydrochloride (unknown)||tramadol
oxybutynin er||oxybutynin
tramadol hydrochloride tablets||tramadol
doxorubicin teva||doxorubicin
oxybutynin hydrochloride||oxybutynin
b6 natural||benzalkonium
doxorubicina (202a)||doxorubicin
oxybutynin pch - bp||oxybutynin
tramadol retard||tramadol
oxybutynin unk||oxybutynin
doxorubicine [doxorubicin]||doxorubicin
baby aspirin||acetylsalicylic acid
oxycodone (oxycodone)||oxycodone
tramadole||tramadol
doxorubicine accord||doxorubicin
oxycodone (oxycodone) (oxycodone)||oxycodone
tramadolor||tramadol
baby aspirin (acetylsalicylic acid)||acetylsalicylic acid
oxycodone (oxycodone) (unknown) (oxycodone)||oxycodone
doxorubicine hydrochloride||doxorubicin
oxycodone (unknown)||oxycodone
baby asprin||acetylsalicylic acid
doxorubicine teva||doxorubicin
oxycodone er||oxycodone
oxycodone hcl (oxycodone hydrochloride)||oxycodone
trametinib tablet||trametinib
oxycodone hcl 15mg||oxycodone
oxycodone hcl 30mg||oxycodone
oxycodone hcl capsules||oxycodone
oxycodone hcl cr tablets (similar to nda 22-272)||oxycodone
baclofen (20mg)||baclofen
oxycodone hcl cr tablets (similar to nda 22?272)||oxycodone
oxycodone hcl er||oxycodone
baclofen (baclofen)||baclofen
oxycodone hcl ir||oxycodone
baclofen (baclofen) (baclofen)||baclofen
doxycyclin [doxycycline]||doxycycline
transipeg [macrogol]||polyethylene glycol
oxycodone hcl ir capsules||oxycodone
baclofen (oral)||baclofen
oxycodone hcl ir powder 0.5%||oxycodone
doxycycline (doxycycline)||doxycycline
oxycodone hcl pr tablet||oxycodone
baclofen (unknown)||baclofen
doxycycline (unknown)||doxycycline
oxycodone hcl tablets (91-490)||oxycodone
kenalog in orabase||triamcinolone
baclofen intrathecal (baclofen injection)||baclofen
oxycodone hcl tablets (91?490)||oxycodone
kenalog-40 inj||triamcinolone
oxycodone hcl tablets (rhodes 91-490)||oxycodone
kenalog?40||triamcinolone
baclofen oral||baclofen
oxycodone hcl tablets (rhodes 91?490)||oxycodone
doxycycline hcl||doxycycline
oxycodone hydrochloride (aellc)||oxycodone
baclofen tablets||baclofen
doxycycline hyclate (unknown)||doxycycline
oxycodone hydrochloride (similar to nda 20-553)||oxycodone
doxycycline hyclate 100mg||doxycycline
keppra (levetiracetam)||levetiracetam
oxycodone hydrochloride (similar to nda 22-272)||oxycodone
baclofene||baclofen
doxycycline hyclate dr||doxycycline
oxycodone hydrochloride (similar to nda 22?272)||oxycodone
oxycodone hydrochloride hydrate||oxycodone
doxycycline hydrochloride||doxycycline
oxycodone ir||oxycodone
oxycodone terephthalate||oxycodone
bactrim (bactrim)||sulfamethoxazole
ketamine hcl||ketamine
trazodone (trazodone)||trazodone
ketamine panpharma||ketamine
bactrim ds (bactrim)||sulfamethoxazole
trazodone (trazodone) (trazodone)||trazodone
doxylamine succinate||doxylamine
ketamine renaudin||ketamine
trazodone hydrochloride (watson laboratories)||trazodone
bactrim forte||sulfamethoxazole
doxylamine succinate 25 mg 441||doxylamine
oxycontin (nda 22-272)||oxycodone
ketoconazole 2%||ketoconazole
trazodone hydrochloride tablets||trazodone
oxycontin (oxycodone hydrochloride)||oxycodone
bactrimel||sulfamethoxazole
ketoconazole cream||ketoconazole
trazodone hydrochloride tablets 50mg||trazodone
dr. scholl's one step corn removers||salicylic acid
oxycontin tablets||oxycodone
oxycontin tr||oxycodone
ketoconazole cream 2%||ketoconazole
trelstar (watson laboratories)||triptorelin
oxygen (oxygen)||oxygen
oxygen therapy||oxygen
ketoconazole shampoo||ketoconazole
ketonal [ketoprofen]||ketoprofen
ketoprofene||ketoprofen
oxymorphone hcl||oxymorphone
treprostinil diolamin||treprostinil
ketoprofene [ketoprofen]||ketoprofen
oxymorphone hydrochloride (aellc)||oxymorphone
treprostinil sodium||treprostinil
oxymorphone hydrochloride er||oxymorphone
treprostinil sodium (inhaled)||treprostinil
treprostinil sodium (iv)||treprostinil
treprostinil sodium (sq)||treprostinil
oxyquinoline sulfate||oxyquinoline
dronabinol capsules||dronabinol
baraclude tabs 0.5 mg||entecavir
droperidol aguettant||droperidol
barnidipine hydrochloride||barnidipine
p-tol [sucroferric oxyhydroxide]||iron sucrose
tretinoin cap 10mg||tretinoin
paclitaxel (atllc)||paclitaxel
paclitaxel (manufacturer unknown)||paclitaxel
tri-cyclen||levomenthol
kit for the preparation of technetium (tc-99m) sestamibi injection||tetrakis(2-methoxyisobutylisocyanide)copper(i) tetrafluoroborate
paclitaxel (manufacturer unknown) (paclitaxel) (paclitaxel)||paclitaxel
tri-cyclen lo||levomenthol
paclitaxel (paclitaxel)||paclitaxel
tri-previfem tablets||norgestimate
paclitaxel (taxol)||paclitaxel
paclitaxel (unknown)||paclitaxel
paclitaxel accord||paclitaxel
baxter 0.9% sodium chloride 9g_l injection bp bag ahb1324||sodium chloride
triamcinolon [triamcinolone]||triamcinolone
paclitaxel actavis||paclitaxel
klipal codeine||codeine
paclitaxel albumin||paclitaxel
baxter sevoflurane||sevoflurane
paclitaxel ebewe||paclitaxel
triamcinolonacetonide||triamcinolone
klonopin (clonazepam)||clonazepam
paclitaxel hospira||paclitaxel
klonopin (clonazepam) (tablets)||clonazepam
paclitaxel kabi||paclitaxel
triamcinolone acetonid||triamcinolone
paclitaxel liposome||paclitaxel
triamcinolone acetonide cream||triamcinolone
bayaspirin (acetylsalicylic acid) (acetylsalicylic acid)||acetylsalicylic acid
paclitaxel teva||paclitaxel
triamcinolone cream||triamcinolone
triamcinolone hexacetonide||triamcinolone
dulcolax (docusate sodium)||docusate
triamterene hctz||triamterene
triamterene-hctz||triamterene
bayer aspirin regimen adult low strength||acetylsalicylic acid
dulcolax nos||docusate
dulcolax picosulfat||docusate
triatec (ramipril)||ramipril
triatec [ramipril]||ramipril
dulcolax tablets||docusate
triazide||benzoyl peroxide
duloxetine (duloxetine) (duloxetine)||duloxetine
duloxetine 30 mg||duloxetine
tricor (fenofibrate)||fenofibrate
palonosetron hcl||palonosetron
duloxetine 60 mg||duloxetine
krill omega red oil||levomenthol
tridol (tramadol hydrochloride)||tramadol
beclometasone;formoterol||formoterol
panadol forte||phenylephrine
panadol osteo||phenylephrine
duloxetine hcl||duloxetine
duloxetine hydrochloride (aellc)||duloxetine
trihexyphenidyl hcl||trihexyphenidyl
l glutamine||l-glutamine
trileptal (oxcarbazepine)||oxcarbazepine
l lysine||l-lysine
duonebs||ipratropium
trimebutine maleate||trimebutine
l thyroxine||levothyroxine
trimetazidine dihydrochloride||trimetazidine
l-asparaginase||aspartic acid
l-carbocisteine||carbocisteine
trimetazidine hydrochloride||trimetazidine
trimethoprim (trimethoprim)||trimethoprim
l-leucovorin||leucovorin
trimethoprim (unknown)||trimethoprim
trimethoprim sulfa||trimethoprim
l-thyroxin [levothyroxine sodium]||levothyroxine
duphalac easy||lactulose
l-thyroxin [levothyroxine]||levothyroxine
l-thyroxine [levothyroxine sodium]||levothyroxine
pantomed (dexpanthenol)||dexpanthenol
trimethoprime||trimethoprim
pantomed (pantoprazole sodium sesquihydrate)||pantoprazole
belviq (lorcaserin hydrochloride)||lorcaserin
l-thyroxine [levothyroxine]||levothyroxine
pantomed (pantoprazole sodium)||pantoprazole
duragesic (fentanyl)||fentanyl
bemiparin sodium||bemiparin
l-thyroxine sodium||levothyroxine
pantomed (pantoprazole)||pantoprazole
l?thyroxine||levothyroxine
pantomed [dexpanthenol]||dexpanthenol
benadryl (canada)||diphenhydramine
l?thyroxine [levothyroxine]||levothyroxine
pantomed [pantoprazole sodium sesquihydrate]||pantoprazole
benadryl (diphenhydramine hydrochloride)||diphenhydramine
trimetoprim sulfametoxazol||sulfamethoxazole
labetalol (labetalol)||labetalol
pantoprazol [pantoprazole]||pantoprazole
pantoprazol actavis||pantoprazole
benadryl (united states)||diphenhydramine
pantoprazol hexal||pantoprazole
benadryl 24 d||diphenhydramine
pantoprazol natrium||pantoprazole
pantoprazol ratiopharm||pantoprazole
pantoprazole (pantoprazole)||pantoprazole
benadryl a||diphenhydramine
pantoprazole 20mg||pantoprazole
pantoprazole 40||pantoprazole
pantoprazole 40 mg||pantoprazole
pantoprazole 40mg||pantoprazole
lacosamide ep||lacosamide
pantoprazole [pantoprazole sodium sesquihydrate]||pantoprazole
bendamustine accord||bendamustine
bendamustine hcl||bendamustine
durotep mt patch||levomenthol
pantoprazole mylan||pantoprazole
bendroflumethiazide (bendroflumethiazide)||bendroflumethiazide
pantoprazole sod||pantoprazole
pantoprazole sod dr||pantoprazole
pantoprazole sodium anhydrous||pantoprazole
pantoprazole sodium sesquihydrate||pantoprazole
pantoprazole teva||pantoprazole
pantoprazolo||pantoprazole
dyclonine hydrochloride||dyclonine
benicar (olmesartan medoxomil)||olmesartan
benidipine hydrochloride||benidipine
triptorelin pamoate||triptorelin
triptorelin pamoate - bp||triptorelin
e keppra||levetiracetam
lactulose (lactulose)||lactulose
triptorelin pamoate unk||triptorelin
benzathine benzylpenicillin||benzylpenicillin
e2007 (perampanel)||perampanel
benzatropine mesilate||benzatropine
para?aminosalicylic acid||aminosalicylic acid
benzodiazepine derivatives||benzodiazepine
paracetamol  (unknown)||acetaminophen
benzodiazepine nos||benzodiazepine
paracetamol (12a)||acetaminophen
benzodiazepine related drugs||benzodiazepine
lamictal (lamotrigine)||lamotrigine
paracetamol (manufacturer unknown)||acetaminophen
benzodiazepines||benzodiazepine
paracetamol (paracetamol)||acetaminophen
paracetamol (unknown)||acetaminophen
lamisil at continuous spray||terbinafine
paracetamol b braun||acetaminophen
paracetamol b. braun||acetaminophen
benztropine [benzatropine]||benzatropine
ebrantil [urapidil]||urapidil
benztropine mesilate||benzatropine
lamivudine (lamivudine)||lamivudine
paracetamol tablet||acetaminophen
benzydamine hcl||benzydamine
lamivudine (lamivudine) unknown||lamivudine
paracetamolo||acetaminophen
benzydamine hydrochloride||benzydamine
lamivudine-hbv||lamivudine
benzylpenicillin sodium||benzylpenicillin
lamivudine-hiv||lamivudine
bepotastine besilate||bepotastine
lamotrigine (lamotrigine)||lamotrigine
lamotrigine (lamotrigine) (lamotrigine)||lamotrigine
beraprost na||beraprost
lamotrigine (unknown)||lamotrigine
beraprost sodium||beraprost
lamotrigine (watson laboratories)||lamotrigine
lamotrigine 100mg||lamotrigine
tropisetron hydrochloride||tropisetron
berberine hydrochloride||berberine
lamotrigine 25mg||lamotrigine
lamotrigine odt||lamotrigine
lamotrigine tablet||lamotrigine
parenteral iron||iron
lamotrigine tablets||lamotrigine
lamotrigine tablets 100 mg||lamotrigine
lamotrigine tablets 25 mg||lamotrigine
pariet (rabeprazole sodium)||rabeprazole
besivance (besifloxacin ophthalmic suspension) 0.6%||besifloxacin
pariet (rabeprazole)||rabeprazole
edoxaban od||edoxaban
lanreotide autogel||lanreotide
edoxaban tosilate||edoxaban
lansoprazole (lansoprazole)||lansoprazole
edoxaban tosilate hydrate||edoxaban
lansoprazole (unknown)||lansoprazole
lansoprazole dr||lansoprazole
paroxetine (paroxetine)||paroxetine
lansoprazole generic (lansoprazole) unknown||lansoprazole
paroxetine 20mg||paroxetine
lansoprazole mylan||lansoprazole
paroxetine arrow||paroxetine
lansoprazole od||lansoprazole
paroxetine film-coated tablet||paroxetine
lansoprazole teva||lansoprazole
paroxetine hcl||paroxetine
betahistine dihydrochloride||betahistine
lansoprazole-od||lansoprazole
paroxetine tablet||paroxetine
betahistine hydrochloride||betahistine
lansoprazolo||lansoprazole
betahistine mesilate||betahistine
paspertin [metoclopramide hydrochloride]||metoclopramide
paxil (canada)||paroxetine
paxil (paroxetine hydrochloride)||paroxetine
betamethasone diproprionate||betamethasone
paxil (united states)||paroxetine
efferalgan codeine||codeine
pazopanib hydrochloride||pazopanib
tums antacid||magnesium carbonate
effervescent potassium||potassium
effexor (venlafaxine hydrochloride)||venlafaxine
effexor (venlafaxine hydrochloride) unknown||venlafaxine
effexor lp||venlafaxine
lapatinib ditosylate||lapatinib
effexor-xr||venlafaxine
turmeric curcumin||curcumin
peg-l-asparaginase||aspartic acid
tylenol #1 (canada)||acetaminophen
tylenol #3||acetaminophen
lasilix (furosemide)||furosemide
tylenol #3 (canada)||acetaminophen
lasilix [furosemide]||furosemide
tylenol (paracetamol)||acetaminophen
tylenol (paracetamol) (unknown)||acetaminophen
lasix (furosemide sodium)||furosemide
tylenol 3||acetaminophen
lasix (furosemide)||furosemide
bi sifrol||pramipexole
tylenol 8 hour||acetaminophen
lasix (furosemide) (furosemide)||furosemide
lasix (furosemide) (unknown)||furosemide
tylenol [paracetamol]||acetaminophen
lasix m||furosemide
bi-sifrol||pramipexole
tylenol a||acetaminophen
biafine||bia
electrolyte solutions||minoxidil
latanoprost pfizer||latanoprost
latisse 0.03%||bimatoprost
bicarbonate (sodium bicarbonate)||sodium bicarbonate
tylenol childrens suspension||acetaminophen
tylenol cold||acetaminophen
eletriptan hbr||eletriptan
pegylated liposomal doxorubicin||doxorubicin
pegylated liposomal doxorubicin hydrochloride||doxorubicin
tylenol er||acetaminophen
laxatives||polyethylene glycol
pegylated liposomal irinotecan||irinotecan
tylenol ex-str||acetaminophen
tylenol extra-strength||acetaminophen
pemetrexed (manufacturer unknown)||pemetrexed
tylenol nos||acetaminophen
pemetrexed disodium||pemetrexed
pemetrexed disodium heptahydrate||pemetrexed
elitek||petrolatum
tylenol unspecified||acetaminophen
penicillin [benzylpenicillin]||benzylpenicillin
penicillin g [benzylpenicillin]||benzylpenicillin
penicillin g benzathine||benzylpenicillin
penicillin vk||phenoxymethylpenicillin
pentacarinat||pentaerythritol tetranitrate
eltrombopag olamine||eltrombopag
pentacol||pentaerythritol tetranitrate
eltroxin lf||levothyroxine
pentagin||pentaerythritol tetranitrate
pentaglobin||pentaerythritol tetranitrate
lenalidomide (cc-5013)||lenalidomide
pentalong||pentaerythritol tetranitrate
pentam||pentaerythritol tetranitrate
lento-kalium||potassium
pentosan polysulfate sodium||pentosan polysulfate
lenvatinib mesylate||lenvatinib
emend (fosaprepitant dimeglumine)||fosaprepitant
pepcid (famotidine)||famotidine
pepcid (united states)||famotidine
emend for injection||fosaprepitant
pepcid [famotidine]||famotidine
pepcid ac (otc)||famotidine
biotene (paste)||sodium fluorophosphate
pepcid ac otc||famotidine
biotene dry mouth||sodium fluorophosphate
pepcid otc||famotidine
pepcidine||famotidine
biotene nos||sodium fluorophosphate
lercanidipine hcl||lercanidipine
ultra levure||chloroxylenol
biotin (biotin)||biotin
empagliflozin (empagliflozin 25mg tab)||empagliflozin
lercanidipine hydrochloride||lercanidipine
ultra-levure||chloroxylenol
biotin 5000||biotin
lergigan (promethazine hydrochloride)||promethazine
pepto?bismol||bismuth subsalicylate
lergigan (promethazine)||promethazine
emsam (selegiline transdermal system)||selegiline
lergigan [promethazine hydrochloride]||promethazine
biperiden hydrochloride||biperiden
percocet (oxycocet)||oxycodone
letairis (ambrisentan)||ambrisentan
umeclidinium bromide||umeclidinium
letairis (ambrisentan) (tablets)||ambrisentan
bipresso (quetiapine fumarate)||quetiapine
letairis (ambrisentan) (unknown)||ambrisentan
letrozole (manufacturer unknown)||letrozole
letrozole (unknown)||letrozole
enalapril (2142a)||enalapril
letrozole 1a pharma||letrozole
enalapril (enalapril)||enalapril
letrozole 2.5mg||letrozole
enalapril (maleate d')||enalapril
birth control||chloroxylenol
letrozole accord||letrozole
enalapril (unknown)||enalapril
letrozole tab 2.5mg||letrozole
enalapril actavis||enalapril
birth control pill||chloroxylenol
enalapril comp||enalapril
perindopril (perindopril)||perindopril
birth control pills||chloroxylenol
enalapril maleat||enalapril
enalapril maleato||enalapril
unasyn s||sulbactam
perindopril arrow||perindopril
enalapril maleato (2142ma)||enalapril
bisacodyl (bisacodyl)||bisacodyl
unasyn-s||sulbactam
leucovorin (folinic acid)||leucovorin
leucovorin (folinic acid) (folinic acid)||leucovorin
bisacodyl ec||bisacodyl
uni diamicron||gliclazide
peritoneal dialysis solution (lactate- g1.5%)||minoxidil
leucovorin [folinic acid]||leucovorin
peritoneal dialysis solution (lactate- g2.5%)||minoxidil
leucovorin ca||leucovorin
permethrin (amallc)||permethrin
leucovorine||leucovorin
enbrel 50mg amgen||benzyl alcohol
uniphyl la||theophylline
uniphyllin||theophylline
perospirone hydrochloride||perospirone
uniphyllin continus||theophylline
leuprolide [leuprorelin]||leuprolide
unisom sleep||diphenhydramine
pethidine hcl||meperidine
pethidine hydrochloride||meperidine
petrolatum salicylate||petrolatum
endoxan 1000 mg - powder for solution for injection||minoxidil
levalbuterol [levosalbutamol]||levosalbutamol
levalbuterol hcl||levosalbutamol
levalbuterol tartrate||levosalbutamol
endoxan 500mg inj. (cyclophosphamide)||cyclophosphamide
levamlodipine besilate||levamlodipine
levamlodipine besylate||levamlodipine
endoxan [cyclophosphamide monohydrate]||cyclophosphamide
levaquin (levofloxacin)||levofloxacin
phenazopyrid||phenazopyridine
endoxan [cyclophosphamide]||cyclophosphamide
unknown antibiotic||bacitracin
phenergan (promethazine hydrochloride)||promethazine
bisoprolol (2328a)||bisoprolol
unknown birth control||chloroxylenol
phenergan [promethazine]||promethazine
endoxan cyclophosphamide 2g (as monohydrate) powder for injection vial||cyclophosphamide
bisoprolol (bisoprolol)||bisoprolol
unknown birth control pill||chloroxylenol
bisoprolol (fumarate acide de)||bisoprolol
bisoprolol (fumarate de)||bisoprolol
pheniramine maleate||pheniramine
levetiracetam (levetiracetam)||levetiracetam
unknown cholesterol medication||cholesterol
bisoprolol (hemifumarate de)||bisoprolol
levetiracetam (manufacturer unknown)||levetiracetam
bisoprolol (unknown)||bisoprolol
levetiracetam (unknown)||levetiracetam
bisoprolol 1a pharma||bisoprolol
unknown eye drops||glycerin
levetiracetam 500mg||levetiracetam
bisoprolol 2.5 mg||bisoprolol
phenobarbital (phenobarbital)||phenobarbital
levetiracetam film-coated tablet||levetiracetam
bisoprolol 5 mg||bisoprolol
bisoprolol [bisoprolol fumarate]||bisoprolol
levetiracetam mylan||levetiracetam
phenoxymethylpenicillin (= penicillin v)||phenoxymethylpenicillin
levetiracetam tablet||levetiracetam
bisoprolol actavis||bisoprolol
levetiracetam tablets usp 500mg||levetiracetam
bisoprolol film-coated tablets||bisoprolol
levetiracetam ucb||levetiracetam
bisoprolol film?coated tablets||bisoprolol
bisoprolol fumerate||bisoprolol
unknown thyroid medication||levothyroxine
bisoprolol hct||bisoprolol
phenytoin (amallc)||phenytoin
bisoprolol hemifumarate||bisoprolol
bisoprolol mylan||bisoprolol
phenytoin (phenytoin)||phenytoin
bisoprolol ratiopharm||bisoprolol
phenytoin sodium (non-specific)||phenytoin
bisoprolol salt not specified||bisoprolol
levocetirizine hydrochloride||levocetirizine
bisoprolol teva||bisoprolol
unspecified antibiotic||bacitracin
unspecified antibiotics||bacitracin
bisoprolol-ratiopharm||bisoprolol
unspecified birth control||chloroxylenol
enoxaparin (enoxaparin)||enoxaparin
phillips colon health||cetylpyridinium
bisoprololo||bisoprolol
unspecified birth control pill||chloroxylenol
levofloxacin (levofloxacin)||levofloxacin
unspecified birth control pills||chloroxylenol
enoxaparin (generic)||enoxaparin
phillips' colon health||cetylpyridinium
levofloxacin (manufacturer unknown)||levofloxacin
enoxaparin sodium - winthrop||enoxaparin
levofloxacin (unknown)||levofloxacin
phillips' laxative dietary supplement||polyethylene glycol
levofloxacin 500 mg||levofloxacin
unspecified cholesterol medication||cholesterol
enoxaparina||enoxaparin
levofloxacin 500 mg tablet||levofloxacin
levofloxacin 500mg||levofloxacin
enoxaparina sodica||enoxaparin
unspecified eye drops||glycerin
levofloxacin 750 mg||levofloxacin
unspecified fentanyl||fentanyl
unspecified fentanyl transdermal system||fentanyl
enoxaparine||enoxaparin
levofloxacin 750mg||levofloxacin
levofloxacin filmcoated tablet||levofloxacin
enoxaparine sodique||enoxaparin
levofloxacin hemihydrate||levofloxacin
bleomycin hydrochloride||bleomycin
levofloxacin hydrochloride||levofloxacin
bleomycin sulfate||bleomycin
levofloxacin tablet||levofloxacin
bleomycin sulphate||bleomycin
levofloxacin tablets||levofloxacin
phosphatidyl choline||choline
bleomycine bellon||bleomycin
levofloxacin tablets 500 mg||levofloxacin
