(carboplatin)||carboplatin||carboplatin
pantomed [pantoprazole sodium sesquihydrate]||pantoprazol||pantoprazole
benadryl (diphenhydramine hydrochloride)||diphenhydramine hydrochloride||diphenhydramine
l?thyroxine [levothyroxine]||levothyroxine||levothyroxine
trimetoprim sulfametoxazol||sulfametoxazol||sulfamethoxazole
pantomed [pantoprazole sodium sesquihydrate]||pantoprazole||pantoprazole
benadryl (diphenhydramine hydrochloride)||hydro||ethanol
labetalol (labetalol)||labetalol||labetalol
pantoprazol [pantoprazole]||pantoprazol||pantoprazole
benadryl (diphenhydramine hydrochloride)||benadryl||diphenhydramine
pantoprazol [pantoprazole]||pantoprazole||pantoprazole
benadryl (diphenhydramine hydrochloride)||diphenhydramine||diphenhydramine
pantoprazol actavis||pantoprazol||pantoprazole
benadryl (united states)||benadryl||diphenhydramine
pantoprazol hexal||pantoprazol||pantoprazole
benadryl 24 d||benadryl||diphenhydramine
pantoprazol natrium||pantoprazol||pantoprazole
benadryl [acrivastine]||acrivastine||acrivastine
pantoprazol ratiopharm||pantoprazol||pantoprazole
benadryl [acrivastine]||benadryl||diphenhydramine
pantoprazole (pantoprazole)||pantoprazol||pantoprazole
benadryl a||benadryl||diphenhydramine
pantoprazole (pantoprazole)||pantoprazole||pantoprazole
benadryl allergy [cetirizine hydrochloride]||cetirizine hydrochloride||cetirizine
pantoprazole 20mg||pantoprazol||pantoprazole
benadryl allergy [cetirizine hydrochloride]||allergy||fexofenadine
pantoprazole 20mg||pantoprazole||pantoprazole
benadryl allergy [cetirizine hydrochloride]||hydro||ethanol
pantoprazole 40||pantoprazol||pantoprazole
benadryl allergy [cetirizine hydrochloride]||benadryl||diphenhydramine
pantoprazole 40||pantoprazole||pantoprazole
benadryl allergy [cetirizine hydrochloride]||benadryl allergy||diphenhydramine
pantoprazole 40 mg||pantoprazol||pantoprazole
benadryl allergy [cetirizine hydrochloride]||cetirizin||cetirizine
pantoprazole 40 mg||pantoprazole||pantoprazole
benadryl allergy [cetirizine hydrochloride]||cetirizine||cetirizine
pantoprazole 40mg||pantoprazol||pantoprazole
lacosamide ep||lacosamide||lacosamide
pantoprazole 40mg||pantoprazole||pantoprazole
pantoprazole [pantoprazole sodium sesquihydrate]||pantoprazole sodium||pantoprazole
bendamustine accord||bendamustine||bendamustine
pantoprazole [pantoprazole sodium sesquihydrate]||pantoprazol||pantoprazole
pantoprazole [pantoprazole sodium sesquihydrate]||pantoprazole||pantoprazole
bendamustine hcl||bendamustine||bendamustine
durotep mt patch||patch||levomenthol
pantoprazole mylan||pantoprazol||pantoprazole
pantoprazole mylan||pantoprazole||pantoprazole
bendroflumethiazide (bendroflumethiazide)||bendroflumethiazide||bendroflumethiazide
bendroflumethiazide (bendroflumethiazide)||bendroflumethiazid||bendroflumethiazide
pantoprazole sod||pantoprazol||pantoprazole
pantoprazole sod||pantoprazole||pantoprazole
pantoprazole sod dr||pantoprazol||pantoprazole
pantoprazole sod dr||pantoprazole||pantoprazole
pantoprazole sodium anhydrous||pantoprazole sodium||pantoprazole
pantoprazole sodium anhydrous||pantoprazol||pantoprazole
pantoprazole sodium anhydrous||pantoprazole||pantoprazole
pantoprazole sodium sesquihydrate||pantoprazole sodium||pantoprazole
pantoprazole sodium sesquihydrate||pantoprazol||pantoprazole
pantoprazole sodium sesquihydrate||pantoprazole||pantoprazole
lactated ringers solution||lactated ringers||sodium chloride
pantoprazole teva||pantoprazol||pantoprazole
lactated ringers solution||solution||minoxidil
pantoprazole teva||pantoprazole t||pantoprazole
lactated ringers solution||ringers||sodium chloride
pantoprazole teva||pantoprazole||pantoprazole
pantoprazolo||pantoprazol||pantoprazole
dyclonine hydrochloride||dyclonin||dyclonine
dyclonine hydrochloride||hydro||ethanol
benicar (olmesartan medoxomil)||benicar||olmesartan
triptorelin acetate||acetate||acetate
dyclonine hydrochloride||dyclonine||dyclonine
benicar (olmesartan medoxomil)||olmesartan||olmesartan
triptorelin acetate||triptorelin||triptorelin
benicar (olmesartan medoxomil)||olmesartan medoxomil||olmesartan
benidipine hydrochloride||benidipine||benidipine
benidipine hydrochloride||hydro||ethanol
triptorelin pamoate||triptorelin||triptorelin
pantozol (erythromycin\sulfisoxazole)||sulfisoxazol||sulfisoxazole
pantozol (erythromycin\sulfisoxazole)||erythromycin||erythromycin
triptorelin pamoate - bp||triptorelin||triptorelin
pantozol (erythromycin\sulfisoxazole)||sulfisoxazole||sulfisoxazole
e keppra||keppra||levetiracetam
lactulose (lactulose)||lactulose||lactulose
triptorelin pamoate unk||triptorelin||triptorelin
lactulose oral solution||lactulose||lactulose
lactulose oral solution||solution||minoxidil
benzathine benzylpenicillin||benzylpenicillin||benzylpenicillin
e2007 (perampanel)||perampanel||perampanel
benzatropine mesilate||benzatropine||benzatropine
para?aminosalicylic acid||aminosalicylic acid||aminosalicylic acid
lamaline (acetaminophen\belladonna leaf\caffeine\opium)||acetaminophen||acetaminophen
lamaline (acetaminophen\belladonna leaf\caffeine\opium)||opium||opium
lamaline (acetaminophen\belladonna leaf\caffeine\opium)||caffeine||caffeine
benzodiazepine derivatives||benzodiazepine||benzodiazepine
lamaline (acetaminophen\caffeine\opium)||acetaminophen||acetaminophen
lamaline (acetaminophen\caffeine\opium)||opium||opium
paracetamol  (unknown)||paracetamol||acetaminophen
lamaline (acetaminophen\caffeine\opium)||caffeine||caffeine
benzodiazepine nos||benzodiazepine||benzodiazepine
paracetamol (12a)||paracetamol||acetaminophen
lamaline (atropa belladonna extract\caffeine\papaver somniferum tincture\paracetamol)||caffeine||caffeine
benzodiazepine related drugs||benzodiazepine||benzodiazepine
lamaline (atropa belladonna extract\caffeine\papaver somniferum tincture\paracetamol)||paracetamol||acetaminophen
lamictal (lamotrigine)||lamictal||lamotrigine
paracetamol (manufacturer unknown)||paracetamol||acetaminophen
benzodiazepines||benzodiazepine||benzodiazepine
lamictal (lamotrigine)||lamotrigine||lamotrigine
paracetamol (paracetamol)||paracetamol||acetaminophen
paracetamol (unknown)||paracetamol||acetaminophen
lamisil at continuous spray||lamisil||terbinafine
paracetamol b braun||paracetamol||acetaminophen
lamisil at continuous spray||lamisil at||terbinafine
lamisil at continuous spray||lamisil at continuous||terbinafine
paracetamol b. braun||paracetamol||acetaminophen
benztropine [benzatropine]||benztropine||benzatropine
benztropine [benzatropine]||benzatropine||benzatropine
paracetamol codeine||codeine||codeine
ebrantil [urapidil]||urapidil||urapidil
paracetamol codeine||codein||codeine
paracetamol codeine||paracetamol||acetaminophen
benztropine mesilate||benztropine||benzatropine
lamivudine (lamivudine)||lamivudin||lamivudine
lamivudine (lamivudine)||lamivudine||lamivudine
paracetamol tablet||paracetamol||acetaminophen
benzydamine hcl||benzydamine||benzydamine
lamivudine (lamivudine) unknown||lamivudin||lamivudine
lamivudine (lamivudine) unknown||lamivudine||lamivudine
paracetamolo||paracetamol||acetaminophen
benzydamine hydrochloride||benzydamine||benzydamine
benzydamine hydrochloride||hydro||ethanol
benzylpenicillin potassium||benzylpenicillin||benzylpenicillin
benzylpenicillin potassium||potassium||potassium
lamivudine-hbv||lamivudin||lamivudine
lamivudine-hbv||lamivudine||lamivudine
benzylpenicillin sodium||benzylpenicillin||benzylpenicillin
lamivudine-hiv||lamivudin||lamivudine
lamivudine-hiv||lamivudine||lamivudine
bepotastine besilate||bepotastine||bepotastine
lamotrigine (lamotrigine)||lamotrigine||lamotrigine
lamotrigine (lamotrigine) (lamotrigine)||lamotrigine||lamotrigine
beraprost na||beraprost||beraprost
lamotrigine (unknown)||lamotrigine||lamotrigine
beraprost sodium||beraprost||beraprost
lamotrigine (watson laboratories)||lamotrigine||lamotrigine
lamotrigine 100mg||lamotrigine||lamotrigine
tropisetron hydrochloride||hydro||ethanol
tropisetron hydrochloride||tropisetron||tropisetron
berberine hydrochloride||berberine||berberine
lamotrigine 25mg||lamotrigine||lamotrigine
berberine hydrochloride||hydro||ethanol
trospium chloride unk||trospium||trospium
trospium chloride unk||chloride||chloride ion
lamotrigine odt||lamotrigine||lamotrigine
trospium chloride unk||trospium chloride||trospium
trospium chloride unk||chlor||chlorine
lamotrigine prolonged-release tablet||lamotrigine||lamotrigine
lamotrigine prolonged-release tablet||prolong||benzocaine
lamotrigine prolonged-release tablet||release||manganese
lamotrigine tablet||lamotrigine||lamotrigine
parenteral iron||iron||iron
lamotrigine tablets||lamotrigine||lamotrigine
lamotrigine tablets 100 mg||lamotrigine||lamotrigine
lamotrigine tablets 25 mg||lamotrigine||lamotrigine
pariet (rabeprazole sodium)||rabeprazole sodium||rabeprazole
pariet (rabeprazole sodium)||rabeprazole||rabeprazole
besivance (besifloxacin ophthalmic suspension) 0.6%||besivance||besifloxacin
pariet (rabeprazole)||rabeprazole||rabeprazole
besivance (besifloxacin ophthalmic suspension) 0.6%||besifloxacin||besifloxacin
lanreotide acetate||acetate||acetate
lanreotide acetate||lanreotide||lanreotide
edoxaban od||edoxaban||edoxaban
lanreotide autogel||lanreotide||lanreotide
edoxaban tosilate||edoxaban||edoxaban
lansoprazole (lansoprazole)||lansoprazole||lansoprazole
lansoprazole (lansoprazole)||lansoprazol||lansoprazole
edoxaban tosilate hydrate||edoxaban||edoxaban
lansoprazole (unknown)||lansoprazole||lansoprazole
lansoprazole (unknown)||lansoprazol||lansoprazole
paroxetine (chlorhydrate de) anhydre||paroxetine||paroxetine
paroxetine (chlorhydrate de) anhydre||chlor||chlorine
lansoprazole dr||lansoprazole||lansoprazole
lansoprazole dr||lansoprazol||lansoprazole
paroxetine (paroxetine)||paroxetine||paroxetine
lansoprazole generic (lansoprazole) unknown||lansoprazole||lansoprazole
lansoprazole generic (lansoprazole) unknown||lansoprazol||lansoprazole
paroxetine 20mg||paroxetine||paroxetine
lansoprazole mylan||lansoprazole||lansoprazole
lansoprazole mylan||lansoprazol||lansoprazole
paroxetine arrow||paroxetine||paroxetine
lansoprazole od||lansoprazole||lansoprazole
lansoprazole od||lansoprazol||lansoprazole
paroxetine film-coated tablet||paroxetine||paroxetine
lansoprazole teva||lansoprazole||lansoprazole
paroxetine hcl||paroxetine||paroxetine
lansoprazole teva||lansoprazol||lansoprazole
betahistine dihydrochloride||betahistine||betahistine
lansoprazole-od||lansoprazole||lansoprazole
paroxetine tablet||paroxetine||paroxetine
lansoprazole-od||lansoprazol||lansoprazole
betahistine hydrochloride||hydro||ethanol
betahistine hydrochloride||betahistine||betahistine
lansoprazolo||lansoprazol||lansoprazole
betahistine mesilate||betahistine||betahistine
paspertin [metoclopramide hydrochloride]||metoclopramide||metoclopramide
paspertin [metoclopramide hydrochloride]||hydro||ethanol
paspertin [metoclopramide hydrochloride]||metoclopramide hydrochloride||metoclopramide
betamethasone butyrate propionate||butyrate||butyric acid
tums (calcium carbonate)||carbonate||carbonate ion
paxil (canada)||paxil||paroxetine
tums (calcium carbonate)||carbon||activated charcoal
betamethasone butyrate propionate||betamethasone||betamethasone
tums (calcium carbonate)||calcium||calcium
betamethasone dipropionate;calcipotriol||calcipotriol||calcipotriol
paxil (paroxetine hydrochloride)||hydro||ethanol
tums (calcium carbonate)||calcium carbonate||calcium carbonate
betamethasone dipropionate;calcipotriol||betamethasone||betamethasone
paxil (paroxetine hydrochloride)||paroxetine||paroxetine
tums [calcium carbonate;magnesium carbonate;magnesium trisilicate]||magnesium||magnesium
betamethasone dipropionate;calcipotriol||betamethasone dipropionate||betamethasone
paxil (paroxetine hydrochloride)||paxil||paroxetine
tums [calcium carbonate;magnesium carbonate;magnesium trisilicate]||carbonate||carbonate ion
betamethasone diproprionate||betamethasone||betamethasone
paxil (paroxetine hydrochloride)||paroxetine hydrochloride||paroxetine
tums [calcium carbonate;magnesium carbonate;magnesium trisilicate]||carbon||activated charcoal
betamethasone sodium phosphate||phosphate||sodium phosphate, monobasic, unspecified form
paxil (united states)||paxil||paroxetine
tums [calcium carbonate;magnesium carbonate;magnesium trisilicate]||calcium||calcium
betamethasone sodium phosphate||betamethasone||betamethasone
paxil [piroxicam]||piroxicam||piroxicam
efferalgan codeine||codeine||codeine
tums [calcium carbonate;magnesium carbonate;magnesium trisilicate]||calcium carbonate||calcium carbonate
paxil [piroxicam]||paxil||paroxetine
efferalgan codeine||codein||codeine
tums [calcium carbonate;magnesium carbonate;magnesium trisilicate]||magnesium carbonate||magnesium carbonate
pazopanib hydrochloride||pazopanib||pazopanib
tums [calcium carbonate;magnesium carbonate;magnesium trisilicate]||magnesium trisilicate||magnesium trisilicate
pazopanib hydrochloride||hydro||ethanol
tums antacid||antacid||magnesium carbonate
effervescent potassium||potassium||potassium
effexor (venlafaxine hydrochloride)||effexor||venlafaxine
effexor (venlafaxine hydrochloride)||venlafaxine hydrochloride||venlafaxine
effexor (venlafaxine hydrochloride)||hydro||ethanol
effexor (venlafaxine hydrochloride)||venlafaxine||venlafaxine
effexor (venlafaxine hydrochloride) unknown||effexor||venlafaxine
effexor (venlafaxine hydrochloride) unknown||venlafaxine hydrochloride||venlafaxine
effexor (venlafaxine hydrochloride) unknown||hydro||ethanol
effexor (venlafaxine hydrochloride) unknown||venlafaxine||venlafaxine
effexor lp||effexor||venlafaxine
lapatinib ditosylate||lapatinib||lapatinib
effexor-xr||effexor||venlafaxine
turmeric curcumin||curcumin||curcumin
peg-l-asparaginase||l-asp||aspartic acid
tylenol #1 (canada)||tylenol||acetaminophen
tylenol #3||tylenol||acetaminophen
lasilix (furosemide)||furosemid||furosemide
lasilix (furosemide)||furosemide||furosemide
tylenol #3 (canada)||tylenol||acetaminophen
lasilix [furosemide]||furosemid||furosemide
lasilix [furosemide]||furosemide||furosemide
tylenol (paracetamol)||paracetamol||acetaminophen
tylenol (paracetamol)||tylenol||acetaminophen
tylenol (paracetamol) (unknown)||paracetamol||acetaminophen
tylenol (paracetamol) (unknown)||tylenol||acetaminophen
elavil [allopurinol]||elavil||amitriptyline
lasix (furosemide sodium)||lasix||furosemide
tylenol 3||tylenol||acetaminophen
elavil [allopurinol]||allopurinol||allopurinol
lasix (furosemide sodium)||furosemid||furosemide
lasix (furosemide sodium)||furosemide||furosemide
lasix (furosemide)||lasix||furosemide
lasix (furosemide)||furosemid||furosemide
lasix (furosemide)||furosemide||furosemide
bi sifrol||sifrol||pramipexole
tylenol 8 hour||tylenol||acetaminophen
lasix (furosemide) (furosemide)||lasix||furosemide
lasix (furosemide) (furosemide)||furosemid||furosemide
lasix (furosemide) (furosemide)||furosemide||furosemide
lasix (furosemide) (unknown)||lasix||furosemide
tylenol [paracetamol]||paracetamol||acetaminophen
lasix (furosemide) (unknown)||furosemid||furosemide
tylenol [paracetamol]||tylenol||acetaminophen
lasix (furosemide) (unknown)||furosemide||furosemide
lasix m||lasix||furosemide
bi-sifrol||sifrol||pramipexole
tylenol a||tylenol||acetaminophen
biafine||bia||bia
tylenol analgesic unknown||analgesic||levomenthol
electrolyte solutions||solution||minoxidil
tylenol analgesic unknown||tylenol||acetaminophen
latanoprost eye drops||eye drops||glycerin
latanoprost eye drops||latanoprost||latanoprost
tylenol arthritis||arthritis||trolamine salicylate
latanoprost ophthalmic solution 0.005%||latanoprost ophthalmic solution||latanoprost
latanoprost ophthalmic solution 0.005%||latanoprost||latanoprost
tylenol arthritis||tylenol||acetaminophen
latanoprost ophthalmic solution 0.005%||solution||minoxidil
latanoprost pfizer||latanoprost pf||latanoprost
tylenol arthritis er||arthritis||trolamine salicylate
latanoprost pfizer||latanoprost||latanoprost
latisse 0.03%||latisse||bimatoprost
tylenol arthritis er||tylenol||acetaminophen
bicarbonate (sodium bicarbonate)||sodium bicarbonate||sodium bicarbonate
lavender oil||lavender||ethanol
tylenol childrens suspension||tylenol||acetaminophen
tylenol cold||tylenol||acetaminophen
eletriptan hbr||eletriptan||eletriptan
pegylated liposomal doxorubicin||doxorubicin||doxorubicin
pegylated liposomal doxorubicin hydrochloride||doxorubicin hydrochloride||doxorubicin
tylenol er||tylenol||acetaminophen
pegylated liposomal doxorubicin hydrochloride||hydro||ethanol
laxatives||laxative||polyethylene glycol
pegylated liposomal doxorubicin hydrochloride||doxorubicin||doxorubicin
pegylated liposomal irinotecan||irinotecan||irinotecan
tylenol ex-str||tylenol||acetaminophen
tylenol extra-strength||tylenol||acetaminophen
pemetrexed (manufacturer unknown)||pemetrexed||pemetrexed
tylenol nos||tylenol||acetaminophen
pemetrexed disodium||pemetrexed||pemetrexed
tylenol sinus||sinus||phenylephrine
pemetrexed disodium heptahydrate||pemetrexed||pemetrexed
tylenol sinus||tylenol||acetaminophen
pemetrexed sodium hydrate||pemetrexed||pemetrexed
elitek||elite||petrolatum
pemetrexed sodium hydrate||sodium hydrate||sodium hydroxide
tylenol unspecified||tylenol||acetaminophen
penicillin [benzylpenicillin]||benzylpenicillin||benzylpenicillin
penicillin g [benzylpenicillin]||benzylpenicillin||benzylpenicillin
penicillin g [benzylpenicillin]||penicillin g||benzylpenicillin
penicillin g benzathine||penicillin g||benzylpenicillin
penicillin v potassium tablets||penicillin v potassium||phenoxymethylpenicillin
ledipasvir;sofosbuvir||ledipasvir||ledipasvir
ledipasvir;sofosbuvir||sofosbuvir||sofosbuvir
penicillin v potassium tablets||penicillin v||phenoxymethylpenicillin
penicillin v potassium tablets||potassium||potassium
penicillin v potassium tablets usp||penicillin v potassium||phenoxymethylpenicillin
penicillin v potassium tablets usp||penicillin v||phenoxymethylpenicillin
penicillin v potassium tablets usp||potassium||potassium
penicillin vk||penicillin v||phenoxymethylpenicillin
pentacarinat||penta||pentaerythritol tetranitrate
eltrombopag olamine||eltrombopag||eltrombopag
pentacol||penta||pentaerythritol tetranitrate
eltroxin lf||eltroxin||levothyroxine
pentagin||penta||pentaerythritol tetranitrate
pentaglobin||penta||pentaerythritol tetranitrate
lenalidomide (cc-5013)||lenalidomide||lenalidomide
pentalong||penta||pentaerythritol tetranitrate
pentam||penta||pentaerythritol tetranitrate
pentamidine isetionate||penta||pentaerythritol tetranitrate
pentamidine isetionate||pentamidin||pentamidine
pentamidine isetionate||pentamidine||pentamidine
pentazocine hydrochloride||pentazocine||pentazocine
pentazocine hydrochloride||penta||pentaerythritol tetranitrate
pentazocine hydrochloride||hydro||ethanol
pentazocine hydrochloride||pentazocin||pentazocine
pentazocine lactate||pentazocine||pentazocine
pentazocine lactate||penta||pentaerythritol tetranitrate
pentazocine lactate||pentazocin||pentazocine
lento-kalium||kalium||potassium
pentosan polysulfate sodium||pentosan polysulfate||pentosan polysulfate
lenvatinib mesylate||lenvatinib||lenvatinib
emend (fosaprepitant dimeglumine)||fosaprepitant||fosaprepitant
pepcid (famotidine)||pepcid||famotidine
emend (fosaprepitant dimeglumine)||fosaprepitant dimeglumine||fosaprepitant
pepcid (famotidine)||famotidine||famotidine
emend (fosaprepitant dimeglumine)||emend||fosaprepitant
pepcid (united states)||pepcid||famotidine
emend for injection||emend||fosaprepitant
pepcid [famotidine]||pepcid||famotidine
pepcid [famotidine]||famotidine||famotidine
pepcid ac (otc)||pepcid ac||famotidine
biotene (paste)||biotene||sodium fluorophosphate
pepcid ac (otc)||pepcid||famotidine
pepcid ac otc||pepcid ac||famotidine
pepcid ac otc||pepcid||famotidine
biotene dry mouth||biotene||sodium fluorophosphate
pepcid complete (otc)||complete||chlorpheniramine
pepcid complete (otc)||pepcid complete||magnesium hydroxide
pepcid complete (otc)||pepcid||famotidine
pepcid otc||pepcid||famotidine
biotene mouthwash||biotene||sodium fluorophosphate
pepcidine||pepcid||famotidine
biotene mouthwash||mouthwash||levomenthol
lercanidipine (chlorhydrate de)||lercanidipine||lercanidipine
biotene nos||biotene||sodium fluorophosphate
lercanidipine (chlorhydrate de)||chlor||chlorine
emla [lidocaine;prilocaine]||lidocaine||epinephrine
lercanidipine hcl||lercanidipine||lercanidipine
emla [lidocaine;prilocaine]||prilocain||prilocaine
ultra levure||ultra||chloroxylenol
emla [lidocaine;prilocaine]||prilocaine||prilocaine
biotin (biotin)||biotin||biotin
empagliflozin (empagliflozin 25mg tab)||empagliflozin||empagliflozin
lercanidipine hydrochloride||lercanidipine||lercanidipine
lercanidipine hydrochloride||hydro||ethanol
ultra-levure||ultra||chloroxylenol
biotin 5000||biotin||biotin
ultra-technekow dte generator||ultra-technekow dte||technetium tc-99m pertechnetate
lergigan (promethazine hydrochloride)||promethazine hydrochloride||promethazine
lergigan (promethazine hydrochloride)||hydro||ethanol
ultra-technekow dte generator||ultra||chloroxylenol
lergigan (promethazine hydrochloride)||promethazine||promethazine
pepto?bismol||bismol||bismuth subsalicylate
lergigan (promethazine)||promethazine||promethazine
emsam (selegiline transdermal system)||selegiline||selegiline
ultram (tramadol hydrochloride)||tramadol hydrochloride||tramadol
lergigan [promethazine hydrochloride]||promethazine hydrochloride||promethazine
emsam (selegiline transdermal system)||emsam||selegiline
ultram (tramadol hydrochloride)||hydro||ethanol
biperiden hydrochloride||biperiden||biperiden
lergigan [promethazine hydrochloride]||hydro||ethanol
ultram (tramadol hydrochloride)||ultra||chloroxylenol
percocet (oxycocet)||percocet||oxycodone
biperiden hydrochloride||hydro||ethanol
lergigan [promethazine hydrochloride]||promethazine||promethazine
ultram (tramadol hydrochloride)||ultram||tramadol
letairis (ambrisentan)||ambrisentan||ambrisentan
ultram (tramadol hydrochloride)||tramadol||tramadol
letairis (ambrisentan)||letairis||ambrisentan
percocet [oxycodone hydrochloride;oxycodone terephthalate;paracetamol]||oxycodone||oxycodone
umeclidinium bromide||umeclidinium||umeclidinium
letairis (ambrisentan) (tablets)||ambrisentan||ambrisentan
bipresso (quetiapine fumarate)||quetiapine fumarate||quetiapine
percocet [oxycodone hydrochloride;oxycodone terephthalate;paracetamol]||percocet||oxycodone
letairis (ambrisentan) (tablets)||letairis||ambrisentan
emtricitabine;tenofovir disoproxil fumarate||tenofovir disoproxil||tenofovir disoproxil
percocet [oxycodone hydrochloride;oxycodone terephthalate;paracetamol]||oxycodone hydrochloride||oxycodone
letairis (ambrisentan) (unknown)||ambrisentan||ambrisentan
bipresso (quetiapine fumarate)||quetiapine||quetiapine
emtricitabine;tenofovir disoproxil fumarate||emtricitabine||emtricitabine
percocet [oxycodone hydrochloride;oxycodone terephthalate;paracetamol]||hydro||ethanol
letairis (ambrisentan) (unknown)||letairis||ambrisentan
emtricitabine;tenofovir disoproxil fumarate||emtricitabin||emtricitabine
percocet [oxycodone hydrochloride;oxycodone terephthalate;paracetamol]||paracetamol||acetaminophen
emtricitabine;tenofovir disoproxil fumarate||tenofovir disoproxil fumarate||tenofovir disoproxil
perdiem overnight relief pills||relief||sodium phosphate, dibasic
perdiem overnight relief pills||perdiem||sennosides
emtricitabine;tenofovir disoproxil fumarate||tenofovir||tenofovir
letrozole (manufacturer unknown)||letrozol||letrozole
letrozole (manufacturer unknown)||letrozole||letrozole
letrozole (unknown)||letrozol||letrozole
perforomist (formoterol fumarate) inhalation solution||formoterol||formoterol
perforomist (formoterol fumarate) inhalation solution||perforomist||formoterol
enalapril (2142a)||enalapril||enalapril
letrozole (unknown)||letrozole||letrozole
perforomist (formoterol fumarate) inhalation solution||solution||minoxidil
letrozole 1a pharma||letrozol||letrozole
enalapril (enalapril)||enalapril||enalapril
letrozole 1a pharma||letrozole||letrozole
letrozole 2.5mg||letrozol||letrozole
enalapril (maleate d')||enalapril||enalapril
letrozole 2.5mg||letrozole||letrozole
birth control||control||chloroxylenol
letrozole accord||letrozol||letrozole
enalapril (unknown)||enalapril||enalapril
letrozole accord||letrozole||letrozole
unacid (ampicillin sodium\sulbactam sodium)||sulbactam||sulbactam
unacid (ampicillin sodium\sulbactam sodium)||ampicillin||ampicillin
letrozole tab 2.5mg||letrozol||letrozole
enalapril actavis||enalapril||enalapril
unacid (ampicillin sodium\sulbactam sodium)||ampicillin sodium||ampicillin
birth control pill||control||chloroxylenol
letrozole tab 2.5mg||letrozole||letrozole
enalapril comp||enalapril||enalapril
perindopril (perindopril)||perindopril||perindopril
birth control pills||control||chloroxylenol
enalapril maleat||enalapril||enalapril
perindopril arginine||perindopril||perindopril
enalapril maleato||enalapril||enalapril
unasyn s||unasyn||sulbactam
perindopril arginine||arginine||arginine
perindopril arrow||perindopril||perindopril
enalapril maleato (2142ma)||enalapril||enalapril
bisacodyl (bisacodyl)||bisacodyl||bisacodyl
unasyn-s||unasyn||sulbactam
leucovorin (folinic acid)||leucovorin||leucovorin
perindopril tert-butylamine||perindopril||perindopril
leucovorin (folinic acid)||folinic acid||leucovorin
perindopril tert-butylamine||butylamine||butylamine
perindopril tert?butylamine||perindopril||perindopril
leucovorin (folinic acid) (folinic acid)||leucovorin||leucovorin
perindopril tert?butylamine||butylamine||butylamine
leucovorin (folinic acid) (folinic acid)||folinic acid||leucovorin
bisacodyl ec||bisacodyl||bisacodyl
leucovorin (folinic acid) (solution for infusion) (folinic acid)||leucovorin||leucovorin
leucovorin (folinic acid) (solution for infusion) (folinic acid)||folinic acid||leucovorin
leucovorin (folinic acid) (solution for infusion) (folinic acid)||solution||minoxidil
uni diamicron||diamicron||gliclazide
leucovorin [calcium folinate]||calcium folinate||leucovorin
leucovorin [calcium folinate]||calcium||calcium
leucovorin [calcium folinate]||leucovorin||leucovorin
leucovorin [calcium folinate]||folinate||leucovorin
peritoneal dialysis solution (lactate- g1.5%)||solution||minoxidil
leucovorin [folinic acid]||leucovorin||leucovorin
leucovorin [folinic acid]||folinic acid||leucovorin
peritoneal dialysis solution (lactate- g2.5%)||solution||minoxidil
leucovorin ca||leucovorin||leucovorin
leucovorin calcium (manufacturer unknown)||leucovorin calcium||leucovorin
leucovorin calcium (manufacturer unknown)||calcium||calcium
permethrin (amallc)||permethrin||permethrin
leucovorin calcium (manufacturer unknown)||leucovorin||leucovorin
leucovorine||leucovorin||leucovorin
enbrel 50mg amgen||enbrel||benzyl alcohol
perodan [aspirin\oxycodone hydrochloride\oxycodone terephthalate]?||aspirin||acetylsalicylic acid
perodan [aspirin\oxycodone hydrochloride\oxycodone terephthalate]?||oxycodone||oxycodone
perodan [aspirin\oxycodone hydrochloride\oxycodone terephthalate]?||oxycodone hydrochloride||oxycodone
perodan [aspirin\oxycodone hydrochloride\oxycodone terephthalate]?||hydro||ethanol
uniphyl la||uniphyl||theophylline
perodan endo pharmaceuticals [aspirin\oxycodone hydrochloride\oxycodone terephthalate]||aspirin||acetylsalicylic acid
perodan endo pharmaceuticals [aspirin\oxycodone hydrochloride\oxycodone terephthalate]||oxycodone||oxycodone
perodan endo pharmaceuticals [aspirin\oxycodone hydrochloride\oxycodone terephthalate]||oxycodone hydrochloride||oxycodone
perodan endo pharmaceuticals [aspirin\oxycodone hydrochloride\oxycodone terephthalate]||hydro||ethanol
uniphyllin||uniphyl||theophylline
perospirone hydrochloride||perospirone||perospirone
perospirone hydrochloride||hydro||ethanol
uniphyllin continus||uniphyl||theophylline
leuprolide [leuprorelin]||leuprorelin||leuprolide
leuprolide [leuprorelin]||leuprolide||leuprolide
leuprolide acetate depot||acetate||acetate
leuprolide acetate depot||leuprolide acetate||leuprolide
leuprolide acetate depot||leuprolide||leuprolide
unisom sleep||sleep||diphenhydramine
unisom sleep||unisom||diphenhydramine
pethidine hcl||pethidin||meperidine
leuprorelin acetate||leuprorelin||leuprolide
endoxan 100 mg - poudre pour solution injectable||poudre||levomenthol
leuprorelin acetate||acetate||acetate
pethidine hcl||pethidine||meperidine
endoxan 100 mg - poudre pour solution injectable||solution||minoxidil
pethidine hydrochloride||pethidin||meperidine
endoxan 1000 mg - poudre pour solution injectable||poudre||levomenthol
pethidine hydrochloride||hydro||ethanol
endoxan 1000 mg - poudre pour solution injectable||solution||minoxidil
pethidine hydrochloride||pethidine||meperidine
petrolatum salicylate||petrolatum||petrolatum
endoxan 1000 mg - powder for solution for injection||solution||minoxidil
levalbuterol [levosalbutamol]||levalbuterol||levosalbutamol
